baseline,c1,c2,politeness question,left of slider,right of slider
"In their office, Terry tells his coworker, ""The room is [modifier] cold,"" and asks them to raise the temperature.","In their office, Terry tells a coworker, ""The room is [modifier] cold,"" and asks them to go to the temperature control room to raise the temperature.","A few minutes after Terry's coworker Talia lowered the air conditioning in their office, Terry tells Talia, ""The room is [modifier] cold,"" and asks her to raise the temperature.",How polite is Terry being?,As polite as possible,As impolite as possible.
"In a classroom, Anni says to her homeroom teacher, ""The air conditioning is [modifier] cold"" and asks her teacher to change the settings.                                                                ","A prestigious guest lecturer is teaching a class today, and Anni says to him, ""The air conditioning is [modifier] cold"" and asks them to change the settings.",,How polite is Anni being?,As polite as possible,As impolite as possible.
"In a taxi, Dan tells the driver, ""It's [modifier] cold,"" and asks them to turn down the air conditioning.","On a public bus, Dan tells the driver, ""It's [modifier] cold,"" and asks them to turn down the air conditioning.",,How polite is Dan being?,As polite as possible,As impolite as possible.
"At a restaurant, Melissa tells the staff, ""The air conditioning is [modifier] cold,"" and asks him to change the settings.","At a restaurant, the waiter notices Melissa wearing 
her jacket and asks if she's comfortable. Melissa tells the 
staff, ""The air conditioning is [modifier] cold,"" and asks 
them to change the settings.",,How polite is Melissa being?,As polite as possible,As impolite as possible.
"Dan is attending a game night at Mary's house. Dan tells Mary, ""It's [modifier] cold here,"" and asks her to raise the temperature.","Dan is attending a game night at Mary's house. Dan tells Mary, ""It's [modifier] cold here,"" and asks her to hand him a coat from the coat rack.",,How polite is Dan being?,As polite as possible,As impolite as possible.
"A coworker started her lunch break early is talking on the phone with a friend next to Lisa. Lisa tells the coworker, ""Your voice is [modifier] loud,"" and asks them to be quieter.","A coworker is talking on the phone with a client. Lisa tells the coworker, ""Your voice is [modifier] loud,"" and asks them to be quieter.",,How polite is Lisa being?,As polite as possible,As impolite as possible.
"Amy is sick in bed in her room, and her roommate Jake is practicing piano in the living room. Amy tells Jake, ""The sound is [modifier] loud,"" and asks him to turn down the volume.
","Amy is playing games in her room, and her roommate Jake is practicing piano in the living room. Amy tells Jake, ""The sound is [modifier] loud,"" and asks him to turn down the volume.",,How polite is Amy being?,As polite as possible,As impolite as possible.
"Sarah is at a restaurant with a friend. She tells the staff, ""The volume is [modifier] loud,"" and asks them to turn it down.","Sarah is at a restaurant with a friend. She tells the staff, ""The volume is [modifier] loud and we can't enjoy our conversation,"" and asks them to turn it down. ",,How polite is Sarah being?,As polite as possible,As impolite as possible.
"Claire is studying for an exam, but her brother is gaming in the living room. Claire says, ""The sound is [modifier] loud,"" and asks him to be quieter.","Claire is studying for an exam, but her brother and his friends are having a birthday party in the living room. Claire says, ""The sound is [modifier] loud,"" and asks them to be quieter.",,How polite is Claire being?,As polite as possible,As impolite as possible.
"During class, students sitting near Alex are talking loudly. Alex tells them, ""Your voices are [modifier] loud and disrupting the class,"" and asks them to lower their voices.
","During class, students sitting near Alex are talking loudly. Alex tells them, ""Your voices are [modifier] loud,"" and asks them to lower their voices.",,How polite is Alex being?,As polite as possible,As impolite as possible.
"Tom and his housemate Jordan have invited their friends over. Tom tells Jordan, ""The sofa is [modifier] messy,"" and asks him to clean up his things before the guest arrives.","Tom and his housemate Jordan have invited their friends over. While showing the coworker around the house, Tom tells Jordan, ""The sofa is [modifier] messy,"" and asks him to clean up his things.","Tom and his roommate Jordan are cleaning the house because they have invited their friends over. Tom tells Jordan, ""The sofa is [modifier] messy,"" and asks him to clean the sofa while Jordan is tidying up.",How polite is Tom being?,As polite as possible,As impolite as possible.
"Emma is at Chloe's apartment to work on a class assignment together. Seeing notebooks and candy wrappers on the desk, Emma says, ""This room is [modifier] messy,"" and they clean up together before starting work.","Emma is in the living room of Chloe's apartment to work on a class assignment together. Emma enters Chloe's bedroom to borrow a desk lamp and says, ""The bedroom is messy.""",,How polite is Emma being?,As polite as possible,As impolite as possible.
"Leo has come to Noah's apartment to study. Leo says, ""This desk is [modifier] messy,"" and asks him to organize it before they begin.","Leo has come to Noah's apartment to study. After sitting down at the desk and looking at the kitchen, Leo says, ""The kitchen is [modifier] messy.""",,How polite is Leo being?,As polite as possible,As impolite as possible.
